chr,start,end,value1,value2
chr1,7224218,16393864,-0.196,-0.955
chr1,21093451,25392112,0.128,0.275
chr1,31462827,31952156,0.234,0.6
chr1,38366450,42030463,0.001,-0.552
chr1,44307009,53690628,0.53,0.355
chr1,58017049,58046561,0.439,-0.24
chr1,71140450,73373343,0.1,-0.153
chr1,75053643,89520859,0.476,-0.012
chr1,104336479,104610315,-0.38,0.077
chr1,105073084,107305064,0.705,-0.67
chr1,113494940,116356831,0.176,-0.254
chr1,117575148,128178947,-0.59,-0.576
chr1,131736339,142833193,-0.839,-0.651
chr1,144078943,146187586,0.071,0.066
chr1,148020100,148524539,-0.819,0.681
chr1,155754293,156680649,-0.078,0.657
chr1,158106050,162375998,-0.269,0.828
chr1,163398862,166008818,-0.02,-0.136
chr1,166619333,169155598,-0.11,-0.181
chr1,174194137,194644863,0.877,-0.69
chr1,194718064,205425417,0.534,-0.838
chr1,215014032,220449969,-0.923,0.127
chr1,220600157,230434907,-0.887,0.212
chr1,238766557,247422981,-0.135,-1.654
chr2,964504,5629065,-0.316,-0.471
chr2,9191519,20321874,-0.172,-0.326
chr2,24230655,27528340,0.438,0.017
chr2,34176061,40742196,-0.712,-0.216
chr2,44210800,54184884,-0.119,0.554
chr2,55695990,56728217,-0.243,-0.305
chr2,68930971,78361138,-0.48,-0.804
chr2,79182263,81377697,-0.613,-0.524
chr2,82240522,84760536,-0.756,-0.537
chr2,92052293,92745165,0.049,-0.725
chr2,108013419,111500591,0.076,0.309
chr2,118006935,118428896,-1.24,0.231
chr2,122689953,125135346,-0.359,-1.394
chr2,139702348,145550968,-0.182,0.183
chr2,145715863,146060700,-1.162,0.417
chr2,151128564,157595553,0.71,-0.207
chr2,158498789,162454685,0.334,-0.979
chr2,167944325,168248287,-0.829,0.036
chr2,168538950,189326231,-0.234,0.773
chr2,193467071,196160565,0.413,-0.499
chr2,199466490,200950481,0.126,-0.162
chr2,201555738,205645579,0.311,0.618
chr2,217242637,223733613,0.048,0.854
chr2,235992945,241211912,-0.346,-0.287
chr3,755167,10172855,0.918,-0.213
chr3,14909280,22502495,0.421,-0.185
chr3,24704666,26117987,-0.102,0.637
chr3,28431765,31238287,0.514,0.249
chr3,35144335,43871052,0.037,-0.697
chr3,44462683,51466880,-0.451,-0.841
chr3,58539334,64315820,0.228,0.04
chr3,64831506,68805511,0.01,0.218
chr3,72230990,72606793,-0.147,0.037
chr3,81080534,87401150,-0.316,-0.046
chr3,103763552,104358837,-0.312,1.28
chr3,104506911,113777389,-0.041,0.83
chr3,114949076,122423880,-0.444,0.687
chr3,125141702,137571428,0.051,-0.769
chr3,144334873,145649342,0.323,0.422
chr3,151606808,152323470,0.256,0.443
chr3,159251493,171370593,-0.207,0.235
chr3,179255626,180847955,-0.011,-0.719
chr3,188327835,193158979,0.263,0.585
chr4,3409738,3937073,-0.197,0.234
chr4,9267176,11066561,0.25,-0.794
chr4,17966858,18415859,0.507,0.201
chr4,18964608,20082815,-0.623,-0.372
chr4,23202763,31732792,-0.846,-0.788
chr4,35556750,37025119,0.063,0.848
chr4,39947625,63436481,0.28,-0.262
chr4,73892502,76582312,0.064,0.351
chr4,93303305,94072263,0.514,-0.144
chr4,95132393,113611317,-0.105,0.819
chr4,122095404,123555868,0.512,-0.158
chr4,128412265,136073710,0.743,0.693
chr4,141287041,156313815,-0.087,-0.757
chr4,156451592,158558754,0.092,-0.516
chr4,166333767,169870626,0.279,0.715
chr4,171846919,172123829,0.018,-0.129
chr4,172781599,174442344,0.534,-0.02
chr4,179180755,182087214,0.447,-0.239
chr4,186486241,189502642,-0.266,-0.041
chr5,424136,19609039,0.521,0.143
chr5,21199782,35793799,-0.654,-0.491
chr5,42045325,43739016,0.167,0.724
chr5,49358347,50456648,0.45,-0.475
chr5,57754949,61222628,-0.041,-0.203
chr5,64155217,67322843,0.268,0.31
chr5,75672167,76366063,-0.455,0.15
chr5,78848249,78961977,-0.218,0.183
chr5,100464271,105530401,-0.676,-0.629
chr5,105537124,110929980,-0.34,-0.568
chr5,119127663,119731002,0.19,0.456
chr5,121809009,126327785,0.342,-0.222
chr5,139588173,140851553,0.593,0.974
chr5,143924328,145033793,-0.322,-1.038
chr5,152062487,154795921,0.815,-0.521
chr5,157625781,159170737,0.343,0.277
chr5,163181092,164318421,-0.151,0.164
chr5,165368467,174011178,-0.365,0.137
chr6,10264311,14540899,0.28,0.758
chr6,24605075,31989045,0.129,-0.058
chr6,35348819,35591625,0.041,-0.496
chr6,37998463,42404814,-0.162,-0.679
chr6,57853740,63581564,0.316,-0.091
chr6,65317547,66576338,-0.576,-0.902
chr6,73287568,77656238,-0.165,-0.162
chr6,80935859,88108258,-0.087,-0.159
chr6,90431261,92212884,-0.285,-0.429
chr6,92594732,94777469,0.138,0.107
chr6,98745964,103730754,0.093,0.076
chr6,114299685,120875645,0.165,-0.692
chr6,125670030,129401077,0.033,-0.027
chr6,132417663,133999189,-0.105,-0.619
chr6,139636211,146262689,0.49,1.02
chr6,148469438,160988903,0.106,-0.059
chr6,166233776,169793277,-0.31,-0.023
chr7,8815697,9267359,0.537,-0.789
chr7,13808503,24270721,-0.488,0.541
chr7,28298879,31474430,0.288,-0.721
chr7,38470467,47289587,0.386,1.069
chr7,47373878,48991380,0.335,-0.068
chr7,51564897,52739204,0.639,-0.388
chr7,60582232,66319029,0.557,0.175
chr7,66404000,66602594,0.214,-1.001
chr7,68665931,83678421,-0.377,-0.035
chr7,89313406,101495578,0.049,0.335
chr7,104997514,112739198,-0.252,0.487
chr7,120339754,120777416,-0.387,0.503
chr7,123000343,124680669,-0.239,-0.444
chr7,128908937,133028166,-0.107,0.362
chr7,133803823,144395575,0.454,-0.974
chr7,151865607,152492242,-0.055,0.758
chr8,2334444,2957894,-0.313,0.438
chr8,3937170,26935980,0.303,0.685
chr8,27239344,33688428,-0.432,0.151
chr8,34125568,44880501,0.582,-0.26
chr8,45942871,47253654,-0.062,-0.064
chr8,62991463,63858765,0.677,0.319
chr8,64292007,66794388,-0.692,-0.563
chr8,67321813,73284679,-0.622,0.443
chr8,83835186,87578280,-0.652,-0.614
chr8,100630577,103760395,1.017,0.176
chr8,105334213,106593175,0.222,-0.481
chr8,109512171,112186060,1.283,-0.543
chr8,125784997,136006701,0.028,1.048
chr8,137415043,143256746,-0.17,0.077
chr9,3178753,8216824,0.009,-0.253
chr9,10038990,18827563,0.219,0.161
chr9,23554096,25102611,0.814,0.477
chr9,32135709,36139419,0.397,0.123
chr9,37135612,40253644,1.05,0.227
chr9,40901095,41381406,0.189,-0.244
