chr,start,end,value,color
chr1,2321390,22775301,-0.525358698,a
chr1,43812694,44287183,0.101162224,a
chr1,52481565,53897427,0.372158324,a
chr1,59354150,74860235,0.160938248,a
chr1,81748375,111694704,0.449661291,a
chr1,126910480,128054594,-0.38462853,a
chr1,135549697,141566099,-0.025073432,a
chr1,143714289,144032636,1.002599271,a
chr1,157023268,176383360,0.451607511,a
chr1,176588113,178318552,-0.630868149,a
chr1,179231752,202859841,-0.71925303,a
chr1,206433098,209970709,-0.408037402,a
chr1,212762083,212926576,0.628256307,a
chr1,218228276,222162833,0.44480768,a
chr1,223873574,229033986,0.075148749,a
chr1,233438096,244475701,0.281372795,a
chr2,1691732,6945264,-0.083741872,a
chr2,23466862,25486592,-0.672021935,a
chr2,38838720,56138858,-0.454103678,a
chr2,60143146,62288177,-0.054766218,a
chr2,67736710,75958690,0.845777849,a
chr2,83225565,84445109,0.798484893,a
chr2,84687961,86377233,0.552809441,a
chr2,125267579,130291687,0.261709053,a
chr2,131473327,131544787,-0.468463114,a
chr2,133885968,137308712,0.215101629,a
chr2,145864717,160009822,0.788354303,a
chr2,173003668,186313933,-0.102545573,a
chr2,187336729,209869670,0.1491198,a
chr2,209965171,211433768,0.368978949,a
chr2,226507658,235170282,0.105069764,a
chr2,237272301,239605679,0.326815126,a
chr3,10094726,13041378,-0.117686062,a
chr3,17700130,17853399,0.229028492,a
chr3,36029410,47202868,0.107003937,a
chr3,50389807,56706103,-0.410602374,a
chr3,66090649,81959526,0.769177027,a
chr3,86313232,87585313,-0.003290878,a
chr3,100999794,106317200,0.108091235,a
chr3,110573287,120904002,1.167222609,a
chr3,127837741,128571162,0.56906846,a
chr3,142810131,148939805,0.926047189,a
chr3,150332655,155542186,0.140216956,a
chr3,162733606,178021942,0.233847299,a
chr3,181176845,193508284,0.721753671,a
chr4,6696000,10152473,-0.235925431,a
chr4,17821377,25531898,0.778831133,a
chr4,29746031,30959227,0.528100538,a
chr4,39129526,50151439,-0.476865781,a
chr4,50947030,52256467,0.251823541,a
chr4,58783476,66246991,-0.866641798,a
chr4,77375595,79033629,-0.313168927,b
chr4,90494553,103036342,0.425073009,b
chr4,109081226,109896904,-0.664361821,b
chr4,113805439,129304782,-0.206855724,b
chr4,139588997,154474940,-0.163954027,b
chr4,175651787,177397920,0.387525896,b
chr4,190631413,190865306,-0.060438132,b
chr5,4035634,14835115,-0.632501475,b
chr5,42281834,53726423,-0.291188087,b
chr5,68776819,79245916,0.290576173,b
chr5,82464048,82689202,-0.090172798,b
chr5,88751795,100963230,0.769127343,b
chr5,113800261,114022964,0.449389265,b
chr5,117801972,124287977,1.150707411,b
chr5,128126932,133645202,-0.329425537,b
chr5,137390180,140275083,-0.456591287,b
chr5,145626785,147894410,0.218216134,b
chr5,153408841,153954892,-0.739371295,b
chr5,165638667,175257311,-0.285651201,b
chr6,7028522,9786339,-0.589183853,b
chr6,22388127,31016363,-0.477458215,b
chr6,43478770,46254363,-0.224705635,b
chr6,47796920,65413220,0.626704963,b
chr6,67008543,68482908,0.002982159,b
chr6,74056175,84358567,-0.762038819,b
chr6,106666281,108888660,-0.438932268,b
chr6,111362581,131775341,-0.434917373,b
chr6,136474475,149976624,0.307802249,b
chr6,152409398,152476642,-0.36948648,b
chr6,154443119,161618046,-0.744934378,b
chr7,7803544,8573283,0.027043458,b
chr7,16350068,19791303,1.109383259,b
chr7,28717010,51047874,-0.201168463,b
chr7,58198405,67200230,0.448944932,b
chr7,77428120,82523812,-0.830448808,b
chr7,84131814,88958855,0.396748896,b
chr7,103078844,105058788,-0.737547862,b
chr7,111077923,118433600,0.197835823,b
chr7,123715931,126738134,0.224231965,b
chr7,130262036,135038373,-0.143440331,b
chr7,145236372,153962065,-0.557576049,b
chr8,9148235,12450804,0.22607262,b
chr8,19994001,23006303,0.800826888,b
chr8,24820374,25733970,0.547987771,b
chr8,27072311,45178862,-0.382812968,b
chr8,48104876,55627485,-0.005798991,b
chr8,64089548,68117722,-1.01031087,b
chr8,92784302,100329898,0.255839864,b
chr8,116357981,121338054,-0.045835549,b
chr8,123996985,125269105,0.698256072,b
chr8,125398937,129617408,0.081142268,b
chr9,5488989,10117165,-0.309662277,c
chr9,14069596,45956401,0.111702254,c
chr9,53426819,60369919,-0.556287483,c
chr9,65088830,81573030,0.551417318,c
chr9,84819440,86019932,-0.286494833,c
chr9,88268838,92176447,0.173145868,c
chr9,101213993,134837092,-0.179463404,c
chr9,136344120,137701399,-0.338343646,c
chr9,139475167,139999424,0.389042026,c
chr10,6691266,12436756,0.209492163,c
chr10,17431101,19109176,-0.005435336,c
chr10,26435711,29553379,0.168526052,c
chr10,38377832,57167370,-0.076488112,c
chr10,59637505,76889322,-0.302604932,c
chr10,81108541,84916839,0.041457077,c
chr10,92177349,99385749,-0.301667275,c
chr10,101062890,113139465,0.299721949,c
chr10,122206875,133423926,-0.150925005,c
chr11,9725295,10243690,0.241086232,c
chr11,15155708,18366230,0.103802108,c
chr11,20727017,35144682,0.331455155,c
chr11,37607282,38859818,-0.263199027,c
chr11,45691943,46731412,-0.077609266,c
chr11,56940666,78226860,-0.338133588,c
chr11,78572682,79164854,-0.811146175,c
chr11,90158681,98385089,-1.223537822,c
chr11,109076623,119066000,-0.106295358,c
chr12,12317698,13757798,0.095226647,c
chr12,17194568,35133814,-0.000708771,c
chr12,46460191,54883476,0.110390983,c
chr12,57962577,61953450,0.215606576,c
chr12,65568586,67219043,-0.750553876,c
chr12,73521734,78143260,-0.260079441,c
chr12,80041983,104875184,-0.03315111,c
chr12,117368515,119436093,-0.088795676,c
chr12,129323029,129995272,-0.00520967,c
chr13,13494895,20921729,0.522285607,c
chr13,24665651,27794802,-0.270678691,c
chr13,31097843,42431572,0.06839491,c
chr13,52028914,55763870,0.52696947,c
chr13,61876490,65340089,0.258545413,c
chr13,74774988,74806909,-0.020656219,c
chr13,97946735,109706947,0.20865891,c
chr13,113215192,113710757,0.410461071,c
chr14,7507053,12670799,-0.057928652,c
chr14,14397588,24911614,-0.184319726,c
chr14,26824488,34539582,-0.044012306,c
chr14,40838478,61736485,0.214632624,c
chr14,71161216,81397537,-0.0245359,c
chr14,83858329,89234126,-0.760742313,c
chr14,91829570,103821615,-0.188442409,c
chr15,3238339,4997099,0.16413108,d
chr15,14456178,18477259,0.589055928,d
chr15,37750663,39541794,-0.133057046,d
chr15,42468142,42929236,0.373070975,d
chr15,43462767,46399454,-0.350160828,d
chr15,51805384,67004797,0.41871987,d
chr15,73562667,100471439,0.215046503,d
chr16,5518107,5890088,0.959006821,d
chr16,16141201,17603415,-0.457798668,d
chr16,25942699,39554913,0.40081017,d
chr16,42608146,59672236,0.025682917,d
chr16,68433021,71028779,-0.470590705,d
chr16,83550177,85689057,-0.426798617,d
chr17,6368690,24973730,-0.371613858,d
chr17,26641063,31189733,-0.481346243,d
chr17,32092582,39254489,-0.932569522,d
chr17,49513937,64598074,0.013883192,d
chr17,73789537,76509818,0.879405501,d
chr18,6504644,8314445,0.776679874,d
chr18,15990082,27870521,0.455598441,d
chr18,33674062,34933554,-0.356262385,d
chr18,36691001,63281239,-0.364731078,d
chr18,65492786,65913435,-0.518946171,d
chr19,2235465,3326947,0.030460404,d
chr19,10498203,13314459,-0.191002283,d
chr19,16749218,27425502,0.389615004,d
chr19,45019261,52687076,0.66815599,d
chr20,11500269,29412671,-0.235492986,d
chr20,31751079,51095395,-0.654173482,d
chr20,57281958,61066483,0.242356001,d
chr20,61476489,63009270,0.614676575,d
chr21,716185,8445714,0.062538133,d
chr21,14950966,22689005,-0.519716709,d
chr21,37761806,40724198,0.733727963,d
chr22,2772763,4997865,-0.479017403,d
chr22,17608284,23262871,-0.402441119,d
chr22,32279539,36322143,0.9324086,d
chr22,43888320,47682818,-0.630207221,d
chrX,7294137,14585913,-0.236972508,d
chrX,15153209,16841503,0.07246526,d
chrX,38592092,59262110,0.868997787,d
chrX,62538957,65114528,0.029099862,d
chrX,66059566,81429727,-0.662129375,d
chrX,118768851,127033094,-0.594293239,d
chrX,127234631,128082131,1.017744978,d
chrX,132196693,133461326,0.744649229,d
chrX,133611862,139056419,-0.408563098,d
chrX,143167487,145910472,-0.381570347,d
chrY,2197506,5112922,-0.69941413,d
chrY,11911253,28504188,-0.36461945,d
chrY,32832860,46193501,-1.090149441,d
chrY,47828922,57014774,0.227155962,d
