chr,start,end,stack
chr1,20646359,46383846,a
chr1,92365687,94981461,a
chr1,100852580,102493272,a
chr1,116282485,138836728,a
chr1,215897492,218290924,a
chr2,55415849,73121067,a
chr2,95765462,115061465,a
chr2,134936946,146413797,a
chr2,157295757,169700355,a
chr2,183668267,231429188,a
chr3,47188129,81909378,a
chr3,97252622,134765088,a
chr3,144897055,156190801,a
chr3,176913442,195939248,a
chr4,56511497,74096696,a
chr4,79412778,126136034,a
chr4,133546987,152921043,a
chr4,172908742,176383100,a
chr5,2723623,5392944,a
chr5,14404171,16983941,a
chr5,25237944,80062326,a
chr5,100094568,121472758,a
chr6,31824085,46110905,a
chr6,90160170,110115521,a
chr6,117629342,156274207,a
chr6,163342546,166216362,a
chr7,15332529,20151466,a
chr7,27856226,48190049,a
chr7,135124112,141541103,a
chr8,94872,4908571,a
chr8,57363235,99399106,a
chr8,120155022,123911924,a
chr9,4943376,8560799,a
chr9,58001896,69507125,a
chr9,125819369,131125015,a
chr10,27052820,43494358,a
chr10,66097285,75559848,a
chr10,95860335,99894463,a
chr11,74841719,80443387,a
chr11,103501146,108868665,a
chr11,112802069,115173133,a
chr12,830620,30713806,a
chr12,69322011,71674225,a
chr12,72850445,76567287,a
chr13,33868717,71744746,a
chr13,92353024,92454990,a
chr14,15086925,18399883,a
chr14,77900968,93133127,a
chr15,6467452,28412679,a
chr15,64799952,66564362,a
chr16,15720140,49050139,a
chr16,57065076,68388370,a
chr17,15960330,44334825,a
chr17,55985195,57784141,a
chr18,2015458,3947206,a
chr18,30036247,40195521,a
chr19,1589583,7408392,a
chr20,6224233,20816149,a
chr21,9262138,25601781,a
chr22,6989880,35199381,a
chrX,274993,25696920,a
chrX,70112217,123385848,a
chrX,123885495,153369057,a
chrY,30025027,30408259,a
chr1,16051196,33970939,b
chr1,40831033,46774887,b
chr1,56759012,134099431,b
chr1,201960138,216919275,b
chr1,220147694,247094030,b
chr2,43510332,52327672,b
chr2,53111990,114607614,b
chr2,127940068,138940289,b
chr2,156322795,172833693,b
chr2,173974909,228927297,b
chr3,6800028,19693593,b
chr3,101616486,113444183,b
chr3,156527023,183186547,b
chr3,186201300,195780859,b
chr4,34079635,98429232,b
chr4,120201495,126543073,b
chr4,129482482,168845672,b
chr4,183469769,186758884,b
chr5,89644,46679748,b
chr5,56798603,93907299,b
chr5,105385932,108095152,b
chr5,137081912,163818383,b
chr6,11693772,13328302,b
chr6,53710260,58152599,b
chr6,85540497,123838690,b
chr6,144731527,163998056,b
chr7,16097763,46595269,b
chr7,55358521,89770259,b
chr7,99671571,149998049,b
chr8,8648004,16062012,b
chr8,37052763,42423448,b
chr8,53281099,67347862,b
chr9,29528190,72792793,b
chr9,74936014,87952447,b
chr9,108149451,112605090,b
chr10,330386,73318530,b
chr10,95860592,99735367,b
chr10,119477182,132940517,b
chr11,18457267,37277853,b
chr11,61733795,62062255,b
chr11,117376578,117645125,b
chr12,9864349,35749267,b
chr12,44242943,46901458,b
chr12,94370447,126395239,b
chr13,22993703,23901290,b
chr13,62984270,103118479,b
chr14,24138419,36291369,b
chr14,71645834,76752650,b
chr15,2365192,2823133,b
chr15,80176533,94664606,b
chr16,3470964,33713621,b
chr16,58931584,87266743,b
chr17,16873076,73739067,b
chr17,76191108,77600197,b
chr18,10815065,22834852,b
chr18,70263912,70919288,b
chr19,5186610,21610433,b
chr20,1703717,58760306,b
chr21,2801746,44695615,b
chr22,4315650,6373229,b
chrX,9839814,38780654,b
chrX,62756976,106784405,b
chrX,116551642,132321963,b
chrY,22777374,26994779,b
chr1,22084659,55412949,c
chr1,72397983,99485882,c
chr1,101016545,119879381,c
chr1,147216103,215026665,c
chr1,245121600,246349231,c
chr2,992768,28650536,c
chr2,85993456,89842081,c
chr2,108475239,129227977,c
chr2,131346263,182280393,c
chr2,233135236,237322162,c
chr3,52621131,82279213,c
chr3,105559152,127275917,c
chr3,128430735,168642110,c
chr3,175056171,178384301,c
chr4,11302514,15261011,c
chr4,85293207,101637689,c
chr4,122217634,150947071,c
chr4,154795869,175087553,c
chr5,46127451,61430115,c
chr5,73650472,73834821,c
chr5,82756896,154426078,c
chr5,163752930,168088271,c
chr6,16468301,23376424,c
chr6,60548220,98209039,c
chr6,109502370,115664654,c
chr6,130199832,136801325,c
chr7,13563458,28781100,c
chr7,29375966,37698669,c
chr7,115836780,134681481,c
chr8,19509595,23340010,c
chr8,62616844,109080862,c
chr8,130559364,143170700,c
chr9,24795745,59198134,c
chr9,73595337,76181941,c
chr9,81894896,102900602,c
chr10,5515900,36880572,c
chr10,53724533,55364023,c
chr10,106096550,134999019,c
chr11,15423340,37789414,c
chr11,56639916,81949989,c
chr11,106982176,128729317,c
chr12,4811497,70061654,c
chr12,78917950,106164576,c
chr12,108168798,127985385,c
chr13,33604331,52485681,c
chr13,61494279,81620539,c
chr14,25209868,40280152,c
chr14,97433246,99658047,c
chr15,7994569,34488034,c
chr15,77545556,86472673,c
chr16,8127566,51805676,c
chr16,60794776,70400618,c
chr17,1160123,13838375,c
chr17,40086548,53500862,c
chr18,8292280,52462143,c
chr18,58094965,73556000,c
chr19,17474886,31207321,c
chr20,30240348,47748718,c
chr21,25440386,47053995,c
chr22,7469128,7684274,c
chrX,10983326,24069593,c
chrX,76579492,93768798,c
chrX,138406949,142161607,c
chrY,3561031,55609998,c
