chr,start,end,value1,value2
chr1,1799963,18311563,0.616,0.536
chr1,20864017,24917012,-0.666,0.226
chr1,31759173,38940282,-0.332,0.224
chr1,39473907,40129178,0.202,0.887
chr1,40617051,50142439,-0.304,-0.711
chr1,58887333,62384553,-0.827,-0.108
chr1,66332869,72086159,0.92,0.585
chr1,90985773,91055476,0.257,0.072
chr1,97100023,98576997,0.296,0.551
chr1,99183924,99982757,0.423,-0.029
chr1,102434756,102903839,-0.7,0.856
chr1,117656587,119375608,0.337,-0.221
chr1,120513944,122270181,-0.477,-0.043
chr1,131090571,135574422,0.057,-0.516
chr1,138426023,141233370,0.253,-0.567
chr1,142242523,143140463,0.654,0.888
chr1,158672473,166773920,0.446,-0.096
chr1,167413602,173955854,-0.727,-0.009
chr1,175112382,192409464,-0.185,-0.496
chr1,197946354,201986649,0.245,-0.15
chr1,204175665,204998621,-0.283,-0.126
chr1,217790212,223308709,-0.433,0.234
chr1,233702444,235010246,0.087,-0.186
chr1,235478027,248518903,-0.191,0.188
chr2,1111774,1827538,0.134,0.489
chr2,7729620,15398485,-0.101,-0.535
chr2,16394787,19161184,0.225,-0.114
chr2,20839028,32509183,-0.502,-0.51
chr2,35983215,40586583,-0.14,-0.212
chr2,41667934,58282207,0.146,0.226
chr2,62694299,82948237,0.56,-1.41
chr2,83928132,86462082,-0.462,-1.616
chr2,91235891,93669329,-0.558,0.847
chr2,94272465,96502589,0.443,-1.453
chr2,97961647,107240902,0.363,-0.282
chr2,112856933,115103546,-0.392,0.262
chr2,124399839,129671408,0.24,0.831
chr2,133841958,141000673,1.082,0.519
chr2,146182476,153144490,0.286,-0.816
chr2,156989699,168681815,-0.47,-0.08
chr2,172450788,175692880,0.475,-0.22
chr2,176520019,181218084,-0.205,-0.582
chr2,181410265,182764599,-0.044,0.142
chr2,183076660,183497163,0.102,0.315
chr2,185839305,199951952,0.27,0.056
chr2,209746853,218676791,0.019,-0.945
chr2,221995884,224480436,-0.636,-0.315
chr2,232576193,235087067,-0.336,-0.173
chr3,1819096,23377881,0.564,1.317
chr3,23886984,26299331,-0.024,-0.302
chr3,26408827,26530502,0.594,0.671
chr3,44052387,48070262,0.223,0.139
chr3,55228116,64777508,0.137,-0.483
chr3,66664373,74378454,-0.222,-0.36
chr3,76927664,78051323,-0.213,-0.453
chr3,79890612,88830354,0.757,-1.805
chr3,99954751,101115253,0.617,0.135
chr3,102082406,111486187,-0.04,0.144
chr3,113693473,118591264,0.262,-0.838
chr3,120521985,122631481,-0.584,-0.079
chr3,137398268,140927556,-1.076,0.293
chr3,141778769,142416650,0.02,-0.374
chr3,146482971,149772816,-0.441,-0.206
chr3,153399838,155363605,-0.667,0.237
chr3,156063301,183429093,-0.476,-0.771
chr3,185612240,187823788,0.382,0.199
chr3,194256770,195862190,0.366,-0.324
chr4,3459360,12072450,0.419,0.634
chr4,12902140,13590638,-0.222,0.243
chr4,23236898,23473816,-0.536,0.502
chr4,33981013,37593877,-0.259,-0.204
chr4,38546249,39574396,0.643,0.508
chr4,42680202,48486430,-0.388,-0.028
chr4,49183065,53403448,0.127,0.437
chr4,53857568,55828440,0.584,-0.156
chr4,56240650,56436244,-0.109,1.046
chr4,78211914,78503609,0.744,0.281
chr4,79428073,94096193,0.757,-0.507
chr4,110476285,120125792,-0.235,-0.364
chr4,120151312,121541411,0.435,-0.011
chr4,129505841,132252340,0.259,0.519
chr4,138529021,143263730,-0.587,-1.613
chr4,145758743,148836561,-0.091,0.312
chr4,165872365,165964566,0.245,-0.306
chr4,167848103,174380765,0.127,-0.808
chr4,176761339,188089783,0.593,0.57
chr5,4522887,25495961,0.234,0.278
chr5,32725165,50800717,0.636,0.174
chr5,53049323,53457606,-0.934,0.401
chr5,69985687,74731867,-0.523,0.413
chr5,75206191,78198493,0.169,0.086
chr5,86796192,88078940,0.361,0.408
chr5,92345087,97695675,-0.012,0.306
chr5,100690328,103019911,0.29,0.043
chr5,106099204,108576541,0.024,0.029
chr5,109350821,111516413,0.435,0.598
chr5,114545018,120885292,-0.362,0.021
chr5,128429679,130681511,-0.274,-0.794
chr5,131752559,132626766,-0.004,0.556
chr5,132759884,136562957,0.03,-0.309
chr5,138990752,143555196,-0.549,-0.094
chr5,159273244,161452610,-0.165,-0.747
chr5,162722200,168240643,0.115,0.04
chr5,173661608,175353244,0.099,0.529
chr6,1433122,4372182,0.329,-0.135
chr6,13426957,13503150,-0.217,-0.368
chr6,15624606,24364391,-0.271,0.27
chr6,31386864,33375558,-0.403,0.347
chr6,50970579,52937293,-1.156,-0.195
chr6,54565923,57025311,-0.416,-1.201
chr6,57277917,67884510,0.129,-0.7
chr6,72365371,73709561,-0.157,-0.632
chr6,81582121,89093771,0.063,0.046
chr6,92878096,96331998,-0.136,0.46
chr6,106776687,113423109,0.546,0.483
chr6,119453844,122984841,-0.492,-0.013
chr6,128421144,129414618,0.031,-0.061
chr6,132894467,138524925,-0.242,0.128
chr6,143936524,149182401,-0.821,-0.286
chr6,149413938,149425080,0.263,0.678
chr6,150395383,151652928,0.171,1.049
chr7,5653102,16910610,-0.12,-0.063
chr7,17150720,21780651,0.069,-0.218
chr7,32061729,32961504,0.55,-0.619
chr7,33372712,41602479,0.007,-0.643
chr7,46291230,52275109,-0.521,0.051
chr7,55536244,56928246,0.565,1.381
chr7,57543184,58603613,0.126,1.066
chr7,60081305,77154746,-0.005,0.407
chr7,77716291,82435487,-0.444,-0.098
chr7,91641776,102698089,0.284,-0.555
chr7,111969406,116161838,0.457,-0.339
chr7,121093356,123904668,-0.778,-0.246
chr7,127639150,129512201,0.33,-0.005
chr7,130914104,143975674,-0.01,0.273
chr7,145734051,151083461,-0.231,0.644
chr7,154831357,159077387,0.039,0.815
chr8,3253456,8527329,-0.597,0.537
chr8,12140725,12715452,-0.751,0.32
chr8,13735067,14313005,0.631,-1.006
chr8,18959470,19663944,0.597,0.336
chr8,24464782,46012650,-1.429,0.195
chr8,48510111,49480892,0.152,-0.552
chr8,51278519,65240555,-0.976,-0.701
chr8,74369882,78209914,0.828,0.664
chr8,80436669,81880664,0.71,-0.512
chr8,83152317,88496412,-0.24,-1.159
chr8,94698704,97496062,0.994,-0.582
chr8,98035950,104756979,0.894,0.757
chr8,106621824,133116170,0.723,0.257
chr8,137319180,141996229,0.721,0.135
chr9,243083,7419205,0.204,-0.05
