chr,start,end,value,color,cex
chr1,8900700,9211013,-0.6,a,0.3
chr1,38733680,54945292,0.233,a,1.1
chr1,56997278,57258274,0.214,a,1
chr1,63421486,66560161,-0.471,a,0.6
chr1,83102162,84271822,-0.851,a,1.1
chr1,92926675,98678200,0.476,a,0.6
chr1,98981804,100132511,-0.096,a,0.4
chr1,104577919,108563087,-0.824,a,0.6
chr1,113099641,116822565,-0.07,a,0.2
chr1,117614526,134553135,-0.445,a,0.4
chr1,151455644,152847567,-0.26,a,0.9
chr1,161929119,169125055,1.065,a,0.3
chr1,171238052,180991124,0.614,a,0.5
chr1,182109354,203419154,0.133,a,1.1
chr1,218579599,228273403,0.005,a,0.7
chr2,788879,22257665,0.356,a,1
chr2,35278595,38986661,-0.142,a,0.9
chr2,39732085,43715013,0.155,a,0.7
chr2,50723330,59682820,0.17,a,0.8
chr2,60994791,64329627,-0.605,a,0.9
chr2,73228614,80457383,-0.009,a,0.2
chr2,102422928,103352414,0.452,a,0.3
chr2,104663957,111043962,0.202,a,0.3
chr2,124737488,127675402,-0.289,a,0.9
chr2,128082124,143243729,1.016,a,0.2
chr2,165315545,170045137,-0.414,a,0.5
chr2,192197568,194784953,0.921,a,1
chr2,210975571,211533965,0.256,a,0.8
chr2,211921787,213817976,-0.217,a,0.8
chr3,2988577,10661381,0.341,a,0.6
chr3,13044940,21640331,-0.633,a,1.1
chr3,23700612,25438374,0.034,a,0.5
chr3,25684474,27606095,-1.253,a,0.8
chr3,27649423,32802810,0.253,a,0.5
chr3,41919535,52487182,0.089,a,1
chr3,64698949,67037249,0.583,a,1
chr3,100932577,106051654,-0.517,a,0.7
chr3,106297457,123340479,0.017,a,0.3
chr3,139762270,140814845,-0.066,a,0.2
chr3,144824708,151761069,0.152,a,0.5
chr3,170440449,187060328,-0.491,a,0.2
chr4,4237333,20005483,-0.514,a,0.3
chr4,22528609,31979497,0.18,a,1
chr4,33928984,35374992,0.493,a,0.5
chr4,37661150,47882333,-0.002,a,0.4
chr4,48016652,82831891,0.254,a,1.1
chr4,99546227,104968650,-0.328,b,0.4
chr4,108853456,109011269,1.018,b,0.5
chr4,117215487,118406107,-0.466,b,0.6
chr4,129292165,130811163,-0.052,b,0.5
chr4,140497058,148071100,-1.351,b,1
chr4,182757202,187635432,-0.114,b,1
chr5,7014303,12796837,0.037,b,1.1
chr5,14250793,15607099,0.393,b,0.9
chr5,25650709,32392960,0.409,b,0.3
chr5,33011156,54462250,-0.245,b,1.1
chr5,61341240,61726219,0.289,b,0.6
chr5,66549819,68841879,-0.05,b,0.2
chr5,69690807,75152617,-0.017,b,0.3
chr5,86933076,97127434,-0.503,b,0.4
chr5,98355016,114557287,0.352,b,0.4
chr5,118905700,153096262,0.063,b,0.5
chr5,177001774,179247379,-0.25,b,0.5
chr6,4525738,4793896,-0.133,b,0.3
chr6,17794522,25022612,0.165,b,1
chr6,48599837,58005366,-0.582,b,0.6
chr6,58450584,78487255,0.435,b,0.7
chr6,78766339,102076995,0.369,b,0.3
chr6,108221619,116085853,0.663,b,1
chr6,119518095,124476260,0.028,b,0.7
chr6,130722399,147102174,-0.754,b,0.8
chr6,148621041,152336332,-0.44,b,1.1
chr6,155227046,169024954,-0.117,b,0.6
chr7,8803348,12810931,-0.496,b,0.8
chr7,25157336,34646714,0.409,b,0.9
chr7,35326099,41559677,-0.902,b,1.1
chr7,43354997,52437876,0.828,b,0.4
chr7,59155248,61590372,0.316,b,0.4
chr7,63401318,65909132,-0.308,b,0.5
chr7,67676777,70731698,-1.059,b,0.4
chr7,86777790,89385025,0.006,b,0.9
chr7,103848396,107618696,-1.093,b,1
chr7,125815731,136232287,-0.662,b,0.5
chr8,11385329,13762253,-0.804,b,0.2
chr8,22485255,49366626,0.66,b,0.4
chr8,65560078,65710238,-0.906,b,0.4
chr8,69779573,73190703,-0.749,b,0.5
chr8,73220518,74320384,0.159,b,0.5
chr8,80585040,93350439,0.012,b,0.3
chr8,103451704,123995073,-0.28,b,0.9
chr8,126288818,127516897,-0.621,b,1.1
