chr,start,end,value,color
chr1,2306857,8605927,-0.207,a
chr1,20851761,21889246,0.121,a
chr1,23158305,28865964,0.163,a
chr1,37301567,80712334,0.53,a
chr1,80874413,81302045,0.115,a
chr1,85048095,85782964,-0.406,a
chr1,103651953,127111124,0.121,a
chr1,135270960,137253501,-0.698,a
chr1,137686636,141148647,-0.179,a
chr1,144113228,151137557,-0.782,a
chr1,152584265,163107440,-0.192,a
chr1,176502207,179148143,-0.481,a
chr1,187606112,188853376,0.118,a
chr1,205554580,214411816,0.241,a
chr1,230400553,241233688,-0.263,a
chr1,244265835,248929941,0.382,a
chr2,1615757,6372884,0.304,a
chr2,10990590,22675115,-0.116,a
chr2,23918670,30900035,0.232,a
chr2,56879570,60989617,0.837,a
chr2,77024237,109107243,-0.775,a
chr2,111539811,112538553,-0.307,a
chr2,128713134,131630208,0,a
chr2,133320605,133904980,0.774,a
chr2,141029704,143503046,0.366,a
chr2,147655730,151859550,-0.517,a
chr2,158874760,159425066,-0.288,a
chr2,159584222,160970197,0.407,a
chr2,161440316,174803583,-0.554,a
chr2,183613212,199779171,1.041,a
chr2,200115634,200167401,-0.479,a
chr2,200556234,240612329,0.754,a
chr3,6649429,7337823,-0.294,a
chr3,18792367,22412293,0.937,a
chr3,28134437,43820112,0.834,a
chr3,44310114,84489007,-0.076,a
chr3,85061876,86596429,-0.393,a
chr3,95085831,99659541,0.206,a
chr3,103440320,124549083,0.152,a
chr3,140865656,150804661,0.425,a
chr3,154187924,161365148,0.387,a
chr3,164824642,173156257,-0.637,a
chr3,176222431,183260386,-0.751,a
chr3,184465138,189095526,0.076,a
chr3,190254635,192583835,0.214,a
chr4,7828062,21071239,-0.282,a
chr4,24153715,35767679,-0.358,a
chr4,40520463,42002710,0.15,a
chr4,43224617,73988834,-0.05,a
chr4,83617723,94303788,0.718,a
chr4,97627526,102877458,0.259,a
chr4,106904642,109386825,-0.65,b
chr4,113353122,124905680,-0.685,b
chr4,125373666,137993634,-0.238,b
chr4,146813677,161070762,0.091,b
chr4,161103104,166227449,0.535,b
chr4,167153520,167990092,-0.022,b
chr4,168097013,185739304,0.08,b
chr5,711011,7961180,0.233,b
chr5,8024264,8176614,0.953,b
chr5,12548406,28719889,-0.297,b
chr5,45961729,46367463,-0.248,b
chr5,68513106,91644722,0.153,b
chr5,95679771,97783058,-0.088,b
chr5,99934579,103035804,0.081,b
chr5,107326211,111340968,-0.679,b
chr5,113697471,125853425,-0.95,b
chr5,134388235,135436371,0.036,b
chr5,136684307,140402796,-0.257,b
chr5,150014825,176091689,0.426,b
chr6,6150243,17041332,-0.446,b
chr6,17352863,21738826,-0.719,b
chr6,27708301,35629019,-0.259,b
chr6,40412014,46928483,0.574,b
chr6,54293569,67385014,0.082,b
chr6,70579320,73241777,-0.257,b
chr6,82017169,83259364,0.077,b
chr6,89932251,124031452,-0.563,b
chr6,130894016,134171332,-0.824,b
chr6,145309071,154834071,1,b
chr6,156422739,159168706,0.36,b
chr7,5245372,15819927,0.384,b
chr7,26331311,44307956,0.571,b
chr7,51702313,56130273,-0.173,b
chr7,57245646,59103100,-0.574,b
chr7,64706978,73677648,0.066,b
chr7,74997766,82540728,-0.824,b
chr7,87929905,110218686,-0.193,b
chr7,118543890,130118509,-0.824,b
chr7,143008251,144668377,-0.45,b
chr7,147713245,147789218,-0.247,b
chr7,153855422,157493759,-0.404,b
chr8,3020482,13483620,0.315,b
chr8,18193712,36358685,-0.853,b
chr8,53967365,62303455,-0.355,b
chr8,64307815,82771693,0.011,b
chr8,87195414,88449643,-0.287,b
chr8,89011156,95493334,-0.19,b
chr8,98251551,106822804,-0.425,b
chr8,122512259,125760389,0.353,b
chr8,130370583,132055710,-0.811,b
chr8,140166219,141527750,-0.578,b
chr9,768728,6858453,0.103,c
chr9,20335584,32780844,0.307,c
chr9,47838951,49313543,-0.28,c
chr9,49516886,59336706,-0.523,c
chr9,79196311,86900191,-0.591,c
chr9,95281712,98432704,-0.525,c
chr9,109785645,115377595,-0.064,c
chr9,118712640,121137470,-0.418,c
chr9,122308761,126516170,-0.9,c
chr10,787217,2736762,-0.098,c
chr10,25793331,29652537,-0.479,c
chr10,30382945,43936926,1.171,c
chr10,46276749,56960701,0.287,c
chr10,63200083,78285577,-0.069,c
chr10,79883701,84081434,0.278,c
chr10,84790634,88309261,-0.185,c
chr10,101276535,112408418,-0.099,c
chr10,126576139,133969381,-0.273,c
chr11,1815920,2821056,-1.015,c
chr11,4517084,6073149,-0.239,c
chr11,8806043,37378411,0.182,c
chr11,42719800,46360990,-0.018,c
chr11,46569052,49527620,-0.224,c
chr11,76549837,78845654,0.105,c
chr11,85130166,97002548,-0.738,c
chr11,113584659,116061594,0.169,c
chr11,121478073,124265903,-0.061,c
chr12,3076228,9774900,-0.647,c
chr12,14166817,27454661,0.278,c
chr12,29573069,37791330,-0.435,c
chr12,40094230,49664400,-0.627,c
chr12,53683453,62760712,0.315,c
chr12,64822917,71948408,-0.583,c
chr12,75016779,78438692,0.226,c
chr12,79171064,102765719,-0.234,c
chr12,122803973,132057888,-0.762,c
chr13,1685762,5703685,-0.086,c
chr13,6064413,6570279,0.587,c
chr13,17436707,35316581,0.214,c
chr13,40596922,43849083,0.495,c
chr13,68233516,69078492,-0.542,c
chr13,76499852,79615607,0.623,c
chr13,87424665,95438082,0.256,c
chr13,101693332,107270230,0.569,c
chr14,4996424,11668415,-0.59,c
chr14,14861850,26322829,-0.263,c
chr14,35657840,48222670,-0.96,c
chr14,59377631,60250846,0.033,c
chr14,64695620,79388437,-0.425,c
chr14,84253948,92430157,0.396,c
chr14,97757077,100917700,-0.366,c
chr15,2898612,7858243,0.917,d
chr15,14718550,26144439,-0.526,d
chr15,32393181,32413703,-0.096,d
chr15,41743863,60726422,0.072,d
chr15,61996827,67901393,0.447,d
chr15,85047015,89015865,0.334,d
chr15,89225497,101441516,-0.115,d
chr16,120418,2235667,0.295,d
chr16,14435529,16030574,0.189,d
chr16,18070628,20854594,-0.093,d
chr16,24383138,30246377,-0.812,d
chr16,45447989,61384303,0.053,d
chr16,72419080,89957950,0.537,d
chr17,8121267,11396703,0.786,d
chr17,16795651,40118464,0.349,d
chr17,47357685,48395752,-0.797,d
chr17,51623072,54260575,-0.347,d
chr17,59976491,74422474,-0.426,d
chr18,26235981,33461040,0.034,d
chr18,45639384,47336592,-0.122,d
chr18,51425884,51473947,0.576,d
chr18,59127700,60018585,0.721,d
chr18,73508048,74951650,-0.477,d
chr19,12380020,18014999,1.089,d
chr19,18393752,38941272,-0.495,d
chr19,45989341,47744139,1.069,d
chr19,54315036,58266566,0.054,d
chr20,18632788,20404438,0.33,d
chr20,27163763,28302068,0.566,d
chr20,30355882,48978661,-0.066,d
chr20,55005128,59585255,-0.589,d
chr21,4915525,9409012,1.167,d
chr21,20559833,21099955,-0.18,d
chr21,35277456,42513833,0.379,d
chr22,9673624,10323297,-0.638,d
chr22,17322661,20699731,0.232,d
chr22,28954836,41222913,-0.059,d
chr22,44734327,46969000,0.037,d
chrX,11936360,13117501,-0.379,d
chrX,19499334,22818877,-0.456,d
chrX,23015801,23094481,-0.58,d
chrX,57224225,65837784,-0.194,d
chrX,72532900,73980278,-0.244,d
chrX,86236726,86841265,0.235,d
chrX,87733314,94074165,-0.054,d
chrX,113354457,114003456,-0.137,d
chrX,119088279,135597929,0.363,d
chrX,135886542,145434381,-0.116,d
chrY,4814005,11181480,-0.365,d
chrY,26462486,36900756,-0.567,d
chrY,42647001,45110408,0.439,d
chrY,50025738,58920719,-0.94,d
