chr,start,end,value1
chr1,1530625,1615014,0.599
chr1,1975953,10164848,0.092
chr1,14397545,28418386,-1.197
chr1,28946904,29181009,-0.548
chr1,36243868,39775415,-0.346
chr1,40224273,40977769,-0.062
chr1,55790133,56464186,0.681
chr1,63783690,64125912,1.147
chr1,65817533,70804110,0.063
chr1,71495083,71868262,0.136
chr1,79232302,80710387,-0.204
chr1,81008118,93474357,0.956
chr1,106948806,109407368,-0.256
chr1,109651617,115452304,-0.511
chr1,133864521,135778382,-0.61
chr1,147361589,148760469,0.636
chr1,152848602,157080295,0.018
chr1,160688536,160690671,-0.096
chr1,163174502,164525896,-0.007
chr1,169671363,183947412,0.627
chr1,202107821,203164904,-0.136
chr1,205267578,206396932,0.487
chr1,221071687,226946704,0.827
chr1,228138413,234457960,-1.027
chr1,234479175,236620441,-0.274
chr1,241656444,248256587,-1.068
chr2,14975574,27835978,-0.747
chr2,31219120,42007140,-0.042
chr2,44745678,46270825,0.087
chr2,47725633,54074104,-0.479
chr2,63834703,67622617,0.167
chr2,78397997,78681159,-0.299
chr2,80289953,82468594,0.116
chr2,84679427,92632847,0.009
chr2,96394639,97334579,-0.35
chr2,101089519,101936359,-0.547
chr2,111231027,113816514,-0.234
chr2,120927487,127261795,-0.483
chr2,129299122,135083977,0.13
chr2,135286278,137879278,-0.078
chr2,139662880,156939993,0.139
chr2,157389368,163953338,0.071
chr2,164399273,165062231,0.59
chr2,182040596,195318257,-0.283
chr2,196516021,199030706,0.069
chr2,200380314,201283303,0.262
chr2,203696410,207664037,-0.486
chr2,214054917,218711319,-0.51
chr2,219481368,219936402,0.618
chr2,223165446,225688039,-0.382
chr2,236715384,239491933,0.759
chr3,10042169,12452990,0.1
chr3,22152383,26776092,-0.592
chr3,34991529,37787259,0.425
chr3,38735037,63013939,-0.351
chr3,65606292,66705661,0.22
chr3,67498036,68940349,-1.133
chr3,70072551,80854480,0.219
chr3,84164350,87736215,0.074
chr3,88224931,92585421,-0.5
chr3,93591721,97457279,-0.599
chr3,97723636,103529164,0.173
chr3,103782729,111757324,0.123
chr3,117044420,121311245,-0.695
chr3,123078342,128912985,0.197
chr3,141850690,149997134,0.57
chr3,150203291,152165614,-0.619
chr3,155229805,155424161,0.336
chr3,155716358,156408582,0.38
chr3,166832836,171115305,-0.045
chr3,174673391,178388455,0.137
chr3,180273398,191392805,-0.885
chr4,2622433,8414463,1.415
chr4,23372058,33039851,-0.301
chr4,34357305,34785070,0.043
chr4,40508456,46975887,0.142
chr4,53955058,54037889,0.545
chr4,55925154,56603934,0.406
chr4,59854315,60541393,0.298
chr4,63118956,67784486,-1.041
chr4,70883640,80631322,0.002
chr4,84005280,91834728,-0.224
chr4,109199227,111338361,-0.408
chr4,112364080,115563223,-0.129
chr4,115990879,121535005,-1.111
chr4,124170610,128262050,-0.654
chr4,133345207,137648674,0.479
chr4,137875260,144852973,-0.486
chr4,146680085,150696107,0.307
chr4,154031314,162651779,0.114
chr4,164481908,174905139,-0.392
chr4,180467664,191024986,0.37
chr5,4808948,9674791,-0.171
chr5,12337602,16945142,1.002
chr5,24052474,24503628,0.252
chr5,39996935,42504404,-0.407
chr5,43906970,55170161,-0.306
chr5,58129421,67191132,0.255
chr5,68510427,77390370,-0.421
chr5,82858377,98806842,-0.688
chr5,101936181,111297066,-0.804
chr5,116777652,123352862,1.438
chr5,128500815,133594704,-0.13
chr5,133749094,137526549,0.321
chr5,143986884,146502212,0.13
chr5,146901825,147876246,-0.417
chr5,147948218,148416353,0.574
chr5,155562255,165017377,0.322
chr5,168765743,168957126,0.383
chr5,170880265,172966744,-0.128
chr5,175527507,176855057,-0.791
chr6,2981705,3105877,-0.28
chr6,3822579,20204974,0.606
chr6,22338464,29071137,-0.153
chr6,34536562,35861492,-0.066
chr6,43223864,43292983,0.09
chr6,61072537,62379500,-1.222
chr6,63277165,63461012,-0.131
chr6,66351799,83763094,-0.145
chr6,84141521,85783384,-0.439
chr6,87787441,90276774,0.568
chr6,91831695,95545770,-0.123
chr6,96358058,96958818,0.154
chr6,101278250,109949858,0.679
chr6,111526157,128889314,0.014
chr6,130904536,135305159,-0.223
chr6,137710130,138501628,-0.523
chr6,147768896,149736259,0.375
chr6,168926891,170491639,-0.556
chr7,6288864,6658014,0.776
chr7,11944604,32317861,0.1
chr7,33528123,35078798,-0.712
chr7,38267689,39884831,-0.303
chr7,41187983,47658532,0.558
chr7,49457567,51797526,-0.889
chr7,63431184,63613372,-0.089
chr7,66426484,66668540,-0.877
chr7,72234811,75077190,-0.772
chr7,75761315,79181739,-0.09
chr7,80356761,81947330,-0.437
chr7,108025068,111448026,-0.52
chr7,117456780,119650068,-0.587
chr7,121339575,123104411,-1.017
chr7,136157031,137505210,-0.241
chr7,141180125,149378895,0.162
chr7,153539259,158941465,-0.852
chr8,13153271,25441363,-0.256
chr8,26624178,34025166,-0.41
chr8,38902664,40137145,-0.017
chr8,42694002,44772339,0.428
chr8,47473395,53649946,0.891
chr8,56744318,58866396,-0.23
chr8,61398723,61511848,0.172
chr8,71116703,79277275,0.438
chr8,84117063,85204552,-0.567
chr8,101077560,109640568,0.296
chr8,113258816,113742531,0.377
chr8,120948509,122209294,-0.611
chr8,123832296,127724768,1.051
chr8,131747360,133429966,-0.373
chr8,139147151,145997480,0.404
chr9,2545784,7816746,0.85
chr9,8703503,11269173,-0.663
chr9,14138723,17347480,-0.422
chr9,31472122,32208148,-0.373
chr9,37996275,41675725,0.482
chr9,45269890,49236225,-0.344
chr9,52617748,54672381,0.424
chr9,66813414,76565784,-0.527
chr9,86490810,88232671,0.414
chr9,89582662,103750515,-0.234
chr9,108139319,121092838,-0.191
chr9,122663082,126041178,-0.362
chr9,128209318,128760244,0.309
chr9,129469489,132754741,0.531
chr9,134573717,135482450,0.189
chr10,468612,6347105,0.027
chr10,7756430,12820545,-1.103
chr10,19110653,20423859,0.235
chr10,33192136,55328525,0.849
chr10,56590275,60959637,0.855
chr10,63052138,65785521,0.042
chr10,66011683,70873811,-0.883
chr10,73635967,81150084,1.014
chr10,87609976,88190038,-0.488
chr10,88624366,92933336,0.215
chr10,93093398,93890848,-0.229
chr10,106009052,109715229,0.5
chr10,119499050,124214989,-0.182
chr10,125000010,129022045,0.373
chr11,1250214,2469257,0.289
chr11,22575178,33280297,-0.659
chr11,34786143,35152437,0.347
chr11,36929169,39097091,0.32
chr11,39234406,39617569,-0.308
chr11,54096553,62410879,0.556
chr11,62626424,72384002,0.302
chr11,84176917,87081973,0.167
chr11,87656267,94214553,0.582
chr11,103760799,108832952,0.219
chr11,109270674,110805066,-0.621
chr11,112276475,115176591,1.383
chr11,127865366,128247303,0.506
chr11,129345402,133602910,-0.072
chr12,1937674,2285289,0.057
chr12,2616017,8440399,0.13
chr12,32931429,34668181,-0.134
chr12,34728631,35766810,0.66
chr12,41605155,42814968,-0.361
chr12,47110717,48870766,0.107
chr12,65314105,66165488,-0.335
chr12,70954792,71642976,0.087
chr12,80875139,87035281,-0.321
chr12,95518480,96942645,0.529
chr12,112285910,120548081,0.323
chr12,122799909,123339562,-0.052
chr12,124603289,126821034,0.469
chr12,129083515,132885048,0.594
chr13,16427538,36582590,0.303
chr13,37084433,38772226,-0.522
chr13,44753537,46725939,0.538
chr13,51611852,51872797,0.121
chr13,52446697,58243306,0.656
chr13,61843234,64818895,-0.05
chr13,65675210,70333120,-0.37
chr13,76585919,80168295,-0.249
chr13,85425749,91458007,-1.004
chr13,92376407,95894325,1.032
chr13,103104209,111168841,0.301
chr13,112199207,112507190,-0.21
chr14,12189800,13776059,-0.278
chr14,16643500,23358664,-0.906
chr14,25606371,31953306,-0.646
chr14,36107566,36516452,0.271
chr14,44662476,44680304,-0.06
chr14,45828711,56157442,-0.513
chr14,57630894,57882679,0.428
chr14,69085326,77260770,-0.423
chr14,84058950,84423003,-0.231
chr14,90039400,98144530,-0.027
chr14,100274230,104639782,-0.217
chr15,5700029,10103057,-0.298
chr15,21752306,24754895,-0.059
chr15,25018275,41941120,0.071
chr15,42486450,48490338,-0.376
chr15,50342474,62192027,0.173
chr15,64207821,66680312,0.46
chr15,67866393,71304546,0.694
chr15,73912370,73932382,0.143
chr15,77346872,88965224,0.198
chr15,94060616,94583733,-0.131
chr15,95767601,101052153,-0.39
chr16,1405915,4256104,0.023
chr16,11331183,13516058,0.029
chr16,20906126,29760006,0.719
chr16,39822128,40132766,-0.581
chr16,40403266,45616919,-0.859
chr16,48686946,62196493,-0.436
chr16,67571361,70562944,-0.503
chr16,71079382,81813854,0.107
chr16,82564405,83081725,0.227
chr16,86940543,87527329,0.301
chr17,2825055,12234500,0.871
chr17,15985080,16756009,-0.74
chr17,18680285,20947446,0.67
chr17,21717570,22261522,0.119
chr17,24557084,40167062,0.119
chr17,42015617,42370795,0.49
chr17,47886628,57275530,-0.121
chr17,60014352,62178314,0.64
chr17,74001866,80867558,-0.336
chr18,2847516,3657261,-0.008
chr18,11041903,15492200,0.301
chr18,27366252,31957480,-0.376
chr18,36246209,36267313,0.029
chr18,39891316,41117820,0.085
chr18,46406574,53527028,0.399
chr18,59923942,64455326,-0.492
chr18,69234562,76116266,-1.008
chr19,1513167,6851185,0.259
chr19,25725496,26241684,-0.343
chr19,26703564,34342877,0.818
chr19,40182821,43542524,-0.751
chr19,50115408,54580858,0.321
chr19,54986448,58053180,-0.461
chr20,45569,4890495,0.826
chr20,7251022,9807552,-0.486
chr20,10730764,12812120,0.058
chr20,16797537,17452530,0.144
chr20,25551429,40773669,-1.026
chr20,48758791,51292910,0.016
chr20,56500385,59515942,0.109
chr21,1421218,2022920,0.865
chr21,4888685,19465811,-0.135
chr21,19658507,23315509,0.05
chr21,24123722,25220181,0.158
chr21,34761474,46604273,0.69
chr22,4627631,5421606,-0.735
chr22,5461383,7992542,-0.028
chr22,13103620,23950076,-0.652
chr22,30822418,33818693,-0.095
chr22,40641420,42936841,-0.039
chr22,49131238,50241948,-0.127
chrX,3107646,3395850,-1.395
chrX,4650078,8290095,-0.148
chrX,12526596,15095804,0.505
chrX,19280255,21561415,-0.499
chrX,24775305,26001005,-0.487
chrX,30492184,36017857,-0.16
chrX,54576030,56143085,0.672
chrX,60001799,63826272,-0.484
chrX,71928650,77237766,-0.137
chrX,91851020,92450742,0.275
chrX,98610837,99524692,-0.145
chrX,103516208,105843141,-0.637
chrX,113956771,117517767,-0.4
chrX,127716254,140320808,-0.423
chrX,144863533,149082126,-0.025
chrX,150454288,154380493,0.3
chrY,2280735,8338220,0.474
chrY,9427960,10299471,0.066
chrY,16023969,25314723,0.321
chrY,30596970,37382237,0.155
chrY,41107900,44469982,-0.552
chrY,45408894,51456477,-0.237
