chr,start,end,stack
chr1,11589909,40133642,a
chr1,52614734,59580026,a
chr1,76931882,99383558,a
chr1,123041715,142893503,a
chr1,153009544,158522509,a
chr1,179396655,186247989,a
chr1,195066969,206589776,a
chr1,222885360,237678440,a
chr2,3399336,55188969,a
chr2,61091258,73447386,a
chr2,77673763,137404969,a
chr2,144634736,151200091,a
chr2,158295281,161241749,a
chr2,164272457,171863936,a
chr2,178857187,195032375,a
chr2,229554989,240255692,a
chr3,625664,8814313,a
chr3,9306819,12889165,a
chr3,28579596,31052110,a
chr3,112907750,140849631,a
chr3,155657800,161301126,a
chr3,163743327,176734321,a
chr3,189164849,193211827,a
chr4,2963874,30747599,a
chr4,33048017,90927078,a
chr4,93418818,96722168,a
chr4,115814915,123827703,a
chr4,130186181,142424146,a
chr4,160145456,164040317,a
chr5,28358375,28943627,a
chr5,48623024,64086871,a
chr5,64783620,73670928,a
chr5,81071558,87819883,a
chr5,90166897,112211855,a
chr5,132806217,132946203,a
chr6,13213629,14552398,a
chr6,15227212,15962345,a
chr6,33545211,54314931,a
chr6,65550973,68044430,a
chr6,95859403,112225635,a
chr6,132250718,166789854,a
chr7,15597597,46313636,a
chr7,47556168,69741664,a
chr7,71175355,99979753,a
chr7,108665734,121945680,a
chr7,141209890,147206729,a
chr8,3868698,9323826,a
chr8,10254699,40870225,a
chr8,53893448,96004884,a
chr8,102502552,126622491,a
chr8,145417328,145921408,a
chr9,8396273,28075506,a
chr9,45542601,53955810,a
chr9,59818352,91845058,a
chr9,98560334,115623601,a
chr9,122483335,137343994,a
chr10,3337665,6876972,a
chr10,7272758,10948195,a
chr10,31847961,40615710,a
chr10,59972568,86265054,a
chr10,95204314,95503780,a
chr11,7707122,59227428,a
chr11,71051269,82496759,a
chr11,82523137,84079185,a
chr11,109781484,115976080,a
chr11,120929941,121310705,a
chr12,8740790,8780325,a
chr12,12638622,15518525,a
chr12,24139710,25089697,a
chr12,46181560,57929415,a
chr12,123104101,125422584,a
chr13,9693737,16269986,a
chr13,25185529,39187865,a
