chr,start,end,value,cex
chr1,1326341,1845331,-0.374,0.5
chr1,9901462,15656953,-0.321,0.3
chr1,18241935,21630011,0.172,0.5
chr1,24382163,28861398,0.125,1.1
chr1,32942869,41209388,0.685,1
chr1,46216384,55439876,0.035,0.5
chr1,81705636,88811243,0.379,1
chr1,93152286,94686158,0.342,0.3
chr1,95022307,99479268,0.361,0.9
chr1,115896955,121625762,0.143,0.6
chr1,134109100,142054313,-0.34,0.5
chr1,157142650,174589616,-0.152,0.5
chr1,188102566,195885123,0.945,1.1
chr1,200501439,213479445,0.291,0.8
chr1,213803763,219917876,0.184,0.2
chr1,224968242,235113661,0.273,1.1
chr2,17619104,25624262,-0.194,0.6
chr2,26946941,27889388,0.27,0.6
chr2,36581630,49960898,0.704,0.9
chr2,60265985,73607290,0.463,0.2
chr2,87701608,90075101,-1.041,0.8
chr2,110343010,111267455,-0.676,0.4
chr2,114398293,117654611,-0.048,0.5
chr2,119523100,122348678,0.362,0.6
chr2,125341178,132821518,-1.365,0.3
chr2,133894765,144669877,-0.448,0.8
chr2,167864841,172556781,0.152,0.4
chr2,174383868,181539744,-0.18,0.4
chr2,182085100,198841169,-0.515,1
chr2,202285164,203161623,-0.309,0.9
chr2,215592651,216177694,0.232,1.1
chr2,235584082,238630808,-0.543,1.1
chr3,1720430,4389146,-0.319,0.6
chr3,6104592,7216808,0.315,0.6
chr3,24441213,26466830,-0.548,0.8
chr3,32456756,40201949,-0.536,0.9
chr3,42857600,54307189,-0.082,1
chr3,55308253,56002777,0.373,0.3
chr3,62273545,66710863,0.012,1
chr3,89638197,109730532,-0.295,0.6
chr3,122764457,129053648,0.246,0.3
chr3,134978020,159938136,0.701,0.8
chr3,172872113,174316318,0.544,1.1
chr3,187214026,187574879,0.074,0.5
chr3,191144483,195412253,0.294,0.6
chr4,8327054,16538974,0.448,0.5
chr4,29870261,39830090,-0.005,1
chr4,48931360,71216714,-0.308,1.1
chr4,71684188,73780949,-0.816,0.2
chr4,79094340,95166839,0.79,1.1
chr4,95407609,105296508,-0.776,0.2
chr4,110546052,121776184,0.34,0.8
chr4,125003449,129748185,-0.027,0.8
chr4,131353052,131632149,0.326,0.4
chr4,148388507,150759369,-0.054,0.3
chr4,152887991,158279094,0.067,0.7
chr4,158479556,159523683,-0.318,0.9
chr4,174237428,188431586,-0.641,0.3
chr5,12468721,13999061,0.089,0.8
chr5,17022727,23521392,0.269,0.3
chr5,29951177,37189932,0.006,1
