chr,start,end,value,color
chr1,6098636,13915642,0.372,a
chr1,42002814,45209039,-0.253,a
chr1,49351404,52528510,-0.011,a
chr1,64806490,66012454,-0.025,a
chr1,82448410,86862907,0.477,a
chr1,92542207,95289412,-0.489,a
chr1,109977536,109997528,0.019,a
chr1,111727382,116352256,0.126,a
chr1,121435113,126591447,-0.622,a
chr1,130456753,138124206,-0.848,a
chr1,138261180,142675154,0.272,a
chr1,144017961,151552421,-0.681,a
chr1,152151397,153849879,0.064,a
chr1,174395903,175552595,-0.29,a
chr1,175759523,183932149,-0.79,a
chr1,195756223,196747544,0.507,a
chr1,197721485,205239181,0.276,a
chr1,210385968,219187731,-0.536,a
chr1,235332161,237132791,-0.71,a
chr1,237308324,243097099,-0.262,a
chr2,6038012,15130362,-0.056,a
chr2,32290664,33601545,0.51,a
chr2,48487442,59050719,-1.102,a
chr2,60185323,63151735,-0.482,a
chr2,67602246,72429676,-0.535,a
chr2,73038031,77480992,-0.344,a
chr2,82041195,97418191,-0.488,a
chr2,99789270,117103744,0.029,a
chr2,125909882,130240909,0.286,a
chr2,135526018,139095703,0.563,a
chr2,140344181,145272422,0.358,a
chr2,156308310,159196135,0.404,a
chr2,161117546,163563322,-0.94,a
chr2,169378745,171425650,0.259,a
chr2,182414526,183069700,-0.054,a
chr2,185399462,185509780,-0.071,a
chr2,187389292,202180746,0.569,a
chr2,206729167,208415157,-0.42,a
chr2,209831867,229081982,0.031,a
chr2,240997990,241049612,0.124,a
chr3,29525,3441533,0.631,a
chr3,7353951,10933810,-0.191,a
chr3,13676255,15767189,0.87,a
chr3,19041811,23336773,0.777,a
chr3,29154108,32168714,0.76,a
chr3,45784076,51728018,0.232,a
chr3,64072763,69590387,0.92,a
chr3,96245796,98325392,0.272,a
chr3,99991382,102644654,0.515,a
chr3,103095002,114835648,-0.378,a
chr3,114890574,118691379,0.528,a
chr3,125002681,127956633,-0.193,a
chr3,143090790,162746063,-0.102,a
chr3,164276117,167379565,0.452,a
chr3,176056642,177615939,0.052,a
chr3,194255532,194347309,-0.035,a
chr4,20907873,21945234,0.001,a
chr4,23156859,28896996,0.855,a
chr4,29963885,37799049,0.161,a
chr4,37835955,41347315,-0.014,a
chr4,47250712,49775935,-0.178,a
chr4,51019863,78096045,-0.827,a
chr4,87918380,89510620,-0.211,a
chr4,92963013,96656317,-0.148,a
chr4,107125173,107125346,0.75,b
chr4,108358298,108681576,-0.442,b
chr4,116714750,124422604,0.138,b
chr4,127109822,130659420,0.739,b
chr4,137668853,140089200,-0.448,b
chr4,148294847,151603452,-0.227,b
chr4,160334793,168756401,-0.887,b
chr4,173552182,190978518,0.421,b
chr5,794465,1018944,-0.908,b
chr5,3522803,9531234,-0.005,b
chr5,12951807,25492845,-0.777,b
chr5,28562306,29224724,0.144,b
chr5,42221973,46473009,-0.306,b
chr5,47798932,52349935,0.371,b
chr5,55221209,55378365,-0.471,b
chr5,58894244,66529172,-0.421,b
chr5,67320927,73716777,-0.641,b
chr5,77401151,82120093,-0.127,b
chr5,82946642,86128468,-0.279,b
chr5,88760910,129112351,-0.6,b
chr5,129939046,135687271,-0.382,b
chr5,140076205,144183028,-0.027,b
chr5,162430165,174432921,0.291,b
chr6,6705555,19894881,-0.148,b
chr6,21331709,43473976,-0.091,b
chr6,44705415,44723831,-0.766,b
chr6,48795835,59013017,-0.015,b
chr6,62440399,73839150,0.367,b
chr6,84735123,94757879,-0.012,b
chr6,99766795,102712069,0.308,b
chr6,109083511,124011228,-0.788,b
chr6,124938996,129220802,0.24,b
chr6,131582308,137716063,1.041,b
chr6,137939067,144531032,0.698,b
chr6,145994396,149277676,-0.328,b
chr6,152604584,155833187,-0.025,b
chr6,157080051,166688862,-0.235,b
chr7,676663,5459368,-0.02,b
chr7,7687765,24248755,-0.468,b
chr7,39725886,41556670,0.795,b
chr7,50470067,52844444,0.478,b
chr7,57291616,66697407,0.265,b
chr7,71886579,73758102,-0.34,b
chr7,76629626,88180173,-0.204,b
chr7,93177829,97370847,-0.251,b
chr7,102286048,112142568,0.04,b
chr7,124652425,129217130,0.289,b
chr7,131552260,133590743,-0.859,b
chr7,146991168,148481231,0.494,b
chr7,153597343,158578465,0.03,b
chr8,1878875,8868239,0.367,b
chr8,21301663,22408273,-0.615,b
chr8,23461293,25971623,0.15,b
chr8,27358892,30253723,0.296,b
chr8,41797923,48073386,-0.743,b
chr8,53058942,57202560,-0.305,b
chr8,58132856,67207657,-0.223,b
chr8,70021857,81844661,-0.212,b
chr8,91445262,93939960,0.927,b
chr8,106450024,124086247,0.641,b
chr8,124488664,131530678,0.235,b
chr8,133435326,134030144,-0.34,b
chr9,2273525,2506749,-0.516,b
chr9,7754786,8039568,-0.132,b
chr9,8290596,22658143,-0.598,c
chr9,24382136,34055254,0.279,c
chr9,41690302,49389656,-0.192,c
chr9,81977704,84226103,-0.557,c
chr9,87584385,94096488,-0.096,c
chr9,99536871,101389691,1.272,c
chr9,102089509,103894249,0.379,c
chr9,105559366,109029714,-0.453,c
chr9,110729753,120268457,0.047,c
chr9,122947032,137245262,0.788,c
chr10,9808489,24313199,-0.813,c
chr10,26945193,30694671,0.502,c
chr10,34999297,40395372,1.064,c
chr10,44852002,50335457,-0.244,c
chr10,53945385,56160425,0.344,c
chr10,56434733,67249003,0.168,c
chr10,77252737,80100767,-0.447,c
chr10,90537920,102402851,0.593,c
chr10,113663663,115029715,-0.498,c
chr10,117247718,120072029,-0.809,c
chr10,123812305,124325077,0.388,c
chr11,3661329,8882109,0.201,c
chr11,13464179,14282363,0.968,c
chr11,29445330,29928968,0.993,c
chr11,37919945,39377963,0.064,c
chr11,40139815,43761430,0.443,c
chr11,50864307,83748131,0.756,c
chr11,89457643,95176724,-0.212,c
chr11,97416973,98460719,0.531,c
chr11,99603293,99781928,0.143,c
chr11,103896975,105634811,0.38,c
chr11,113552106,120421149,0.399,c
chr12,1020028,12285711,-0.135,c
chr12,15703595,18073480,0.174,c
chr12,30341296,31136428,0.439,c
chr12,31490112,33125578,0.993,c
chr12,49328408,54661463,-0.094,c
chr12,62490168,79281178,0.093,c
chr12,88018489,96003434,0.328,c
chr12,96513032,97487839,-1.061,c
chr12,99324407,110120078,0.497,c
chr12,112091738,114127747,0.053,c
chr12,120197646,124641660,-0.244,c
chr13,5567135,11361196,0.739,c
chr13,15457648,24231604,0.178,c
chr13,24722319,25136195,0.675,c
chr13,27299925,48197974,-0.033,c
chr13,53011649,64454859,-0.001,c
chr13,70976663,76793246,0.061,c
chr13,77257167,89930588,0.102,c
chr13,90564761,100546046,0.174,c
chr13,103286418,108767870,-0.621,c
chr13,109802287,111663924,0.222,c
chr14,2294260,10028459,-0.672,c
chr14,13923050,15347246,0.454,c
chr14,15500964,23482487,-0.109,c
chr14,24131763,25978687,0.163,c
chr14,30302516,33529436,0.749,c
chr14,33787890,33825162,-0.478,c
chr14,36804767,56052759,-0.11,c
chr14,64463077,65250604,-1.262,c
chr14,83499674,94881343,0.23,c
chr15,753951,4887151,0.137,c
chr15,12348590,13879916,-0.042,c
chr15,19422087,20066189,-0.234,d
chr15,20958909,21293578,-0.242,d
chr15,40997961,44376979,-0.469,d
chr15,55189209,57240906,-0.615,d
chr15,62235677,62490934,0.175,d
chr15,63292860,69886158,-0.329,d
chr15,96931184,100976372,-1.255,d
chr16,2445822,11132172,1.185,d
chr16,12258278,13487089,0.554,d
chr16,19005867,19726803,0.276,d
chr16,22500976,28279223,0.791,d
chr16,32145956,36006990,-0.086,d
chr16,37513259,43348174,0.629,d
chr16,45773700,53813909,-1.014,d
chr16,59889312,83760991,-0.791,d
chr17,2707074,10574880,0.052,d
chr17,13511135,25781257,-0.189,d
chr17,25999369,28871457,-0.433,d
chr17,38668504,42095663,-0.105,d
chr17,44369716,44760402,1.384,d
chr17,61987500,65305289,-0.511,d
chr17,72227811,77514513,-0.18,d
chr18,2030209,8088502,0.411,d
chr18,19746327,23627045,0.266,d
chr18,24148499,25047776,0.185,d
chr18,26675344,31550220,-0.691,d
chr18,31785758,46995084,-0.784,d
chr18,58937357,64767552,0.369,d
chr18,68057468,73745556,-0.112,d
chr19,1832870,5070496,0.047,d
chr19,5802220,11914067,-0.037,d
chr19,15621051,18254695,-0.062,d
chr19,26133632,29564913,-0.052,d
chr19,45334606,47627392,0.335,d
chr20,10489293,17292509,-0.145,d
chr20,21992985,25066330,0.101,d
chr20,26489496,31510396,1.379,d
chr20,47554939,49707316,-0.099,d
chr20,53736517,61103545,0.239,d
chr21,9964172,11707728,0.342,d
chr21,15178366,17184791,-0.736,d
chr21,19666441,23553784,-0.152,d
chr21,38122516,41823542,-0.04,d
chr22,1423079,8633931,0.413,d
chr22,14867357,27010886,-0.345,d
chr22,34933499,40166315,-0.337,d
chr22,40400457,45063856,0.288,d
chrX,270321,18697482,0.111,d
chrX,20339860,22639653,-0.097,d
chrX,23980222,46291248,0.113,d
chrX,62161296,63436680,0.458,d
chrX,67448276,69189722,0.47,d
chrX,71174740,79720071,0.754,d
chrX,91048806,97040281,-0.062,d
chrX,100880185,105402373,0.504,d
chrX,109907539,117665782,0.392,d
chrX,122768441,129117188,0.006,d
chrX,132366216,133419740,-0.351,d
chrX,144393967,146154914,0.538,d
chrX,146267574,152970760,0.775,d
chrY,4886439,8740678,-0.54,d
chrY,12046228,14825233,0.246,d
chrY,15964514,20650840,0.036,d
chrY,30359053,32853733,-0.286,d
chrY,34769699,39644200,0.343,d
